nom_complet,genre,pays,age,revenu_annuel,type_abonnement,duree_abonnement_mois,nb_connexions_mensuelles,dernier_dispositif,derniere_connexion,churn,jour_semaine,mois
Frederick Warren,Homme,Canada,51.0,30267.22,Premium,4.2,19,SmartTV,2025-06-22 11:35:17,0,6,6
Nicole Howell,Homme,Canada,43.761429322122964,35665.04,Premium,2.8,30,SmartTV,2025-02-05 12:25:57,1,2,2
Brooke Hubbard,Homme,Algérie,27.0,49035.07,Standard,10.2,38,Mobile,2025-01-17 14:55:09,0,4,1
Daniel Tucker,Homme,Belgique,67.0,49856.81,Premium,4.8,26,SmartTV,2025-02-23 08:49:44,0,6,2
Diane Tucker,Homme,Algérie,23.0,41234.3,Standard,13.8,33,Tablette,2025-01-29 11:33:42,1,2,1
Rebecca Blankenship,Femme,Canada,53.0,41792.1,Standard,12.1,25,Mobile,2025-06-29 12:30:45,1,6,6
Jeffrey Gomez,Femme,France,55.0,30829.76,Standard,5.4,20,SmartTV,2025-01-18 09:48:51,0,5,1
Amanda Dudley,Homme,France,37.0,50514.09,Familial,23.0,22,Mobile,2025-03-21 11:45:45,0,4,3
Robin Sharp,Homme,Maroc,61.0,48255.2,Premium,14.36419689119171,20,Mobile,2025-02-08 14:57:40,0,5,2
Andrea Sandoval,Homme,Algérie,65.0,32644.2,Premium,13.4,23,SmartTV,2025-02-09 10:03:49,0,6,2
Melanie Woodard,Femme,Algérie,36.0,32590.15,Standard,19.8,26,Mobile,2025-04-09 03:20:20,0,2,4
Karen Wiley,Homme,Belgique,64.0,39107.03,Premium,8.3,30,SmartTV,2025-01-23 05:48:01,0,3,1
Randall Thompson,Homme,Maroc,43.761429322122964,60883.17,Familial,7.5,16,PC,2025-03-05 17:48:40,0,2,3
Anthony Sheppard,Femme,Canada,69.0,31466.67,Standard,10.8,22,Mobile,2025-04-24 17:55:34,0,3,4
Timothy Phillips,Homme,Canada,39.0,27378.99,Familial,3.8,23,Mobile,2025-01-15 10:59:36,0,2,1
Brett Garcia,Homme,Algérie,47.0,12835.26,Familial,4.6,25,Mobile,2025-02-08 02:59:52,0,5,2
Jackson Martinez,Homme,Algérie,18.0,45184.35,Standard,18.5,30,SmartTV,2025-06-30 10:44:53,1,0,6
Gregory Smith,Homme,Algérie,65.0,49278.37,Premium,7.0,23,Mobile,2025-02-12 22:44:04,0,2,2
Julian Barber,Homme,Belgique,58.0,17927.18,Familial,4.0,25,Mobile,2025-02-10 08:20:32,0,0,2
Brandi Phillips,Femme,France,19.0,2553.47,Standard,7.9,16,SmartTV,2025-04-24 22:27:41,0,3,4
Brianna Jones,Homme,Canada,56.0,35417.45,Premium,0.3,27,Mobile,2025-03-23 20:54:27,1,6,3
Savannah Jones,Homme,Canada,48.0,58069.49,Familial,0.6,32,Tablette,2025-01-16 02:00:04,0,3,1
Monica Livingston,Femme,France,58.0,37433.5,Familial,7.3,25,Mobile,2025-05-15 02:18:39,0,3,5
Christine Schwartz,Homme,Belgique,57.0,51643.79,Standard,9.2,21,Mobile,2025-03-12 22:42:36,0,2,3
Christine Higgins,Homme,France,60.0,57860.74,Familial,2.0,28,SmartTV,2025-05-26 21:10:56,0,0,5
Daniel Williams,Homme,Canada,43.761429322122964,53339.47,Standard,24.2,24,PC,2025-01-27 11:27:39,0,0,1
Timothy Long,Homme,Maroc,26.0,28569.33,Standard,32.9,23,Mobile,2025-01-06 14:10:36,1,0,1
Colleen Wood,Homme,France,61.0,43857.97,Standard,2.0,25,Mobile,2025-06-11 19:56:44,0,2,6
Sarah Fernandez,Femme,Maroc,44.0,24172.38,Premium,2.0,34,Mobile,2025-03-04 22:42:15,0,1,3
Blake Macias,Femme,Canada,36.0,40241.28,Standard,6.8,24,SmartTV,2025-01-29 23:54:55,0,2,1
Kathleen Barrett,Homme,Maroc,22.0,35201.2,Standard,27.5,36,SmartTV,2025-01-04 19:28:13,0,5,1
Michael Elliott,Homme,Algérie,20.0,31057.99,Premium,48.2,28,SmartTV,2025-05-08 08:07:26,0,3,5
James Williams,Femme,Algérie,46.0,24039.66,Standard,57.1,30,SmartTV,2025-05-01 05:44:42,0,3,5
Meagan Murray,Homme,Belgique,64.0,59510.5,Standard,31.6,18,Mobile,2025-04-24 19:36:01,0,3,4
Gina Carter,Femme,Belgique,43.761429322122964,35073.26,Familial,10.5,36,Tablette,2025-07-06 07:27:46,0,6,7
Andrew Hernandez,Femme,Canada,49.0,41742.93,Premium,6.0,30,Mobile,2025-03-31 09:50:56,0,0,3
Jeremy Robinson,Femme,France,20.0,10137.08,Standard,20.6,18,Mobile,2025-05-20 23:51:49,0,1,5
Hannah Cruz,Femme,Maroc,44.0,33886.62,Standard,1.4,26,Mobile,2025-01-30 14:04:15,1,3,1
Susan Washington,Homme,Algérie,44.0,55474.76,Standard,1.9,27,SmartTV,2025-01-26 10:57:56,0,6,1
Denise Johnson,Femme,Belgique,43.0,40426.27,Standard,17.7,21,Mobile,2025-01-18 21:31:09,0,5,1
Geoffrey Jones,Homme,Belgique,26.0,53238.61,Premium,1.8,25,Mobile,2025-01-26 04:42:48,0,6,1
Amanda Coleman,Femme,France,40.0,57303.31,Standard,31.5,23,Mobile,2025-02-02 11:27:47,0,6,2
Jamie Carroll,Homme,Belgique,60.0,26562.69,Standard,8.9,26,Mobile,2025-02-05 20:43:18,0,2,2
Pamela Spears,Femme,Algérie,62.0,52830.45,Premium,11.0,20,Mobile,2025-01-08 12:26:28,0,2,1
Maria Powell,Femme,Belgique,69.0,30533.81,Premium,15.3,24,Mobile,2025-02-14 04:06:20,1,4,2
Stephanie Hawkins,Femme,Belgique,42.0,36864.4,Premium,1.1,27,SmartTV,2025-07-06 03:53:11,0,6,7
Nathaniel Miller,Homme,Maroc,48.0,20180.68,Familial,95.4,24,SmartTV,2025-03-18 02:27:19,0,1,3
Michael Fowler,Homme,Algérie,33.0,34633.61,Familial,25.1,22,Mobile,2025-04-17 08:23:24,0,3,4
April Black,Homme,Algérie,27.0,37367.36,Standard,18.1,28,PC,2025-01-15 03:53:26,1,2,1
Jillian Davis,Homme,Belgique,40.0,40236.42,Standard,1.1,20,PC,2025-01-21 07:30:33,0,1,1
Charlene Gonzalez,Femme,France,43.0,46127.79,Standard,3.6,25,PC,2025-02-18 05:41:37,1,1,2
Alisha Butler,Femme,France,26.0,40728.87,Familial,21.8,21,Mobile,2025-02-24 13:41:59,0,0,2
Adam Lewis,Homme,Algérie,47.0,48118.2,Premium,9.7,25,SmartTV,2025-06-11 21:49:53,0,2,6
Jeremy Cruz,Homme,Maroc,54.0,40030.03,Familial,0.8,26,Mobile,2025-03-27 18:46:36,0,3,3
Stacy Miller,Homme,Belgique,60.0,61708.8,Premium,7.0,18,SmartTV,2025-05-02 01:44:15,0,4,5
Amy Carter,Homme,Canada,29.0,45983.26,Standard,64.8,22,SmartTV,2025-05-03 20:02:09,1,5,5
Mrs. Jennifer Duran,Femme,Canada,56.0,49044.83,Standard,3.3,20,Mobile,2025-05-19 19:24:29,0,0,5
Caroline Allison,Femme,Canada,43.761429322122964,53193.84,Standard,16.4,27,Tablette,2025-06-18 07:16:52,1,2,6
Mary Bray,Homme,Canada,51.0,37735.46,Familial,35.7,18,Tablette,2025-06-11 17:53:02,0,2,6
Katherine Lopez,Femme,Belgique,39.0,22878.08,Premium,1.0,16,PC,2025-06-08 16:49:44,0,6,6
Gloria Miranda,Homme,Belgique,58.0,40832.05,Premium,21.1,23,SmartTV,2025-02-02 20:45:45,1,6,2
Paul Lamb,Femme,Belgique,49.0,40894.12,Premium,19.4,16,SmartTV,2025-04-16 18:14:40,0,2,4
Joseph Cunningham,Homme,Belgique,47.0,52307.59,Standard,5.1,21,SmartTV,2025-04-18 07:13:36,0,4,4
Lisa Rodriguez,Homme,Algérie,50.0,23961.18,Standard,11.3,25,Mobile,2025-02-16 23:05:49,0,6,2
Donna Barber,Femme,Belgique,40.0,40728.87,Standard,59.3,34,Tablette,2025-02-20 20:43:19,0,3,2
Mitchell Miller,Femme,Maroc,34.0,59756.42,Standard,23.3,20,SmartTV,2025-05-22 12:42:19,0,3,5
Jennifer Johnson,Homme,Maroc,49.0,70499.44,Standard,0.2,18,PC,2025-03-22 06:30:22,0,5,3
Emily Nguyen,Homme,Canada,35.0,45547.15,Standard,17.5,27,Mobile,2025-04-09 08:34:34,0,2,4
Seth Schwartz,Homme,Belgique,39.0,25209.09,Standard,0.4,25,PC,2025-03-24 17:16:57,0,0,3
Jacob Beard,Homme,Maroc,63.0,40763.79,Standard,7.8,28,Mobile,2025-02-27 05:01:35,0,3,2
Justin Sanders,Femme,Belgique,58.0,35538.65,Standard,65.5,25,SmartTV,2025-05-19 07:18:32,0,0,5
Courtney Rodriguez,Homme,Canada,48.0,41721.12,Standard,7.4,24,Mobile,2025-03-14 15:50:08,0,4,3
Victoria Robertson,Femme,Algérie,67.0,50458.29,Premium,15.2,25,PC,2025-03-16 23:17:34,0,6,3
Michael Perez,Homme,Belgique,68.0,43849.12,Familial,10.1,26,PC,2025-05-25 22:53:23,0,6,5
Lisa Curtis,Femme,France,61.0,29921.95,Standard,14.36419689119171,22,PC,2025-03-21 11:11:13,0,4,3
Gina Dunn,Homme,Belgique,67.0,33520.74,Premium,1.4,26,Mobile,2025-04-28 19:18:04,1,0,4
Yolanda Wall,Homme,Canada,58.0,23958.5,Premium,9.2,24,PC,2025-04-20 23:42:19,1,6,4
Jeffrey Perry,Femme,Canada,68.0,50752.93,Familial,15.5,24,PC,2025-06-17 01:24:54,0,1,6
Douglas Wood,Femme,Belgique,69.0,32820.82,Standard,0.5,22,SmartTV,2025-05-10 03:48:56,0,5,5
Julie King,Femme,Algérie,22.0,28200.84,Standard,30.8,26,Mobile,2025-05-07 19:52:02,1,2,5
Brian Berry,Non précisé,Algérie,63.0,38325.78,Standard,2.6,28,Tablette,2025-02-06 02:41:02,1,3,2
Mrs. Shannon Mason MD,Non précisé,Maroc,24.0,47728.92,Standard,4.2,23,Mobile,2025-03-10 03:21:03,1,0,3
Calvin Wilson,Homme,Maroc,44.0,41846.69,Premium,5.5,22,SmartTV,2025-06-22 12:58:21,1,6,6
John Bradley,Homme,France,43.761429322122964,23458.49,Premium,18.6,17,PC,2025-04-07 23:48:55,0,0,4
Andrew Hernandez,Homme,France,31.0,48764.13,Standard,15.8,25,PC,2025-03-27 00:15:34,0,3,3
Ashley Camacho,Homme,Algérie,27.0,34101.26,Standard,10.4,23,Mobile,2025-03-25 01:23:09,1,1,3
Joseph Hunt,Femme,France,41.0,23047.29,Standard,54.6,24,Mobile,2025-05-24 00:56:49,1,5,5
Jonathan Mccoy,Femme,Canada,36.0,40381.11,Standard,5.7,25,Mobile,2025-06-06 14:09:21,1,4,6
Nicholas Mclean,Femme,Belgique,58.0,40908.08,Familial,3.3,18,Mobile,2025-04-04 14:47:05,0,4,4
Gregory Lee,Homme,Algérie,32.0,54832.31,Familial,8.3,24,Mobile,2025-01-30 00:34:52,0,3,1
Jacob Contreras,Femme,Belgique,23.0,32600.16,Familial,7.4,18,PC,2025-04-18 13:28:30,0,4,4
Luke Moore,Homme,Algérie,43.761429322122964,23912.53,Premium,1.9,22,PC,2025-06-14 22:18:38,0,5,6
Donna Salazar,Homme,Belgique,38.0,36166.71,Standard,0.0,34,PC,2025-01-12 19:56:23,0,6,1
Elizabeth Ramos,Non précisé,Belgique,69.0,40728.87,Premium,4.8,28,Tablette,2025-01-09 04:31:46,0,3,1
Kimberly Flowers,Femme,Maroc,64.0,32311.8,Familial,1.5,30,Mobile,2025-04-03 14:27:42,0,3,4
David Aguirre,Homme,Belgique,36.0,32455.96,Standard,0.8,24,PC,2025-04-01 01:14:22,0,1,4
Felicia Pearson,Femme,Algérie,43.761429322122964,8582.4,Standard,0.8,22,Mobile,2025-04-22 03:13:34,1,1,4
Valerie Curry,Homme,Canada,27.0,44926.69,Standard,6.0,26,SmartTV,2025-01-24 08:36:52,0,4,1
Danielle Ward,Homme,Belgique,30.0,30792.15,Standard,41.1,23,Tablette,2025-06-05 16:45:52,0,3,6
Terry Jackson,Homme,Belgique,51.0,36588.52,Standard,1.9,25,PC,2025-04-29 12:37:36,0,1,4
Diane Robbins,Femme,Belgique,22.0,49040.85,Standard,5.6,29,Mobile,2025-02-28 06:02:18,0,4,2
Virginia Smith,Femme,Maroc,69.0,47572.31,Standard,77.6,20,Mobile,2025-05-08 18:40:12,0,3,5
Norman Price,Femme,Algérie,65.0,50615.17,Premium,13.0,30,SmartTV,2025-01-14 20:54:30,0,1,1
Jeremiah Brown,Homme,Algérie,65.0,25813.38,Standard,18.0,30,SmartTV,2025-05-20 21:50:59,1,1,5
Chris Miller,Femme,Algérie,67.0,44812.78,Premium,25.3,20,SmartTV,2025-06-16 09:33:34,0,0,6
Matthew Carter,Femme,Canada,61.0,40728.87,Premium,27.6,34,Mobile,2025-04-20 00:50:16,0,6,4
John Mccormick,Femme,Canada,41.0,55118.27,Standard,24.4,24,PC,2025-05-04 21:17:10,0,6,5
Christopher Bradshaw,Homme,Algérie,25.0,52703.43,Standard,1.9,32,Tablette,2025-03-01 07:33:11,1,5,3
Duane Wood,Homme,Canada,29.0,20624.48,Familial,8.9,23,PC,2025-01-25 19:46:21,0,5,1
Matthew Carroll,Non précisé,Canada,31.0,39521.63,Premium,10.8,22,Mobile,2025-05-24 16:45:40,0,5,5
Michael Huynh,Femme,Maroc,40.0,31265.38,Premium,51.9,26,Mobile,2025-01-06 14:08:01,1,0,1
Larry Thomas,Homme,Canada,65.0,25285.85,Standard,9.7,26,Mobile,2025-05-06 18:55:26,0,1,5
Mary Wilson,Femme,Algérie,55.0,66359.75,Standard,20.7,22,Mobile,2025-05-26 17:27:42,0,0,5
Nicole Romero,Homme,France,64.0,31513.47,Standard,28.7,28,SmartTV,2025-05-12 03:59:36,0,0,5
Laura Bradshaw,Femme,Algérie,44.0,50378.9,Premium,0.8,21,Inconnu,2025-02-15 12:28:14,0,5,2
Amanda Gomez,Femme,France,24.0,56324.68,Familial,18.8,31,SmartTV,2025-06-05 07:34:43,1,3,6
Kyle Walker,Homme,Maroc,47.0,49639.72,Premium,46.6,28,PC,2025-05-26 18:15:06,0,0,5
Jessica Hood,Femme,Belgique,30.0,18982.74,Standard,20.2,35,PC,2025-01-09 06:48:25,1,3,1
Matthew Moody,Homme,Canada,69.0,30781.38,Standard,0.3,26,SmartTV,2025-03-16 10:19:28,0,6,3
Ronald Wood,Homme,Canada,43.761429322122964,53610.97,Standard,7.5,21,SmartTV,2025-03-28 13:35:19,1,4,3
Taylor Ortiz,Homme,France,59.0,38174.31,Premium,16.0,33,PC,2025-01-28 12:16:50,0,1,1
Deanna Davis,Femme,Belgique,31.0,52580.8,Premium,22.8,23,Mobile,2025-05-09 03:59:53,0,4,5
Nicholas Lopez,Femme,Belgique,62.0,39027.19,Standard,69.1,23,SmartTV,2025-03-31 00:21:20,0,0,3
Jill Baker,Non précisé,Canada,69.0,49893.42,Standard,4.5,23,PC,2025-04-27 05:43:48,0,6,4
Jodi Dennis,Homme,France,61.0,40992.4,Standard,20.5,20,PC,2025-07-03 13:31:19,1,3,7
Mr. Justin Henderson,Homme,Maroc,36.0,47692.72,Standard,36.7,23,SmartTV,2025-02-15 12:00:26,1,5,2
Miss Tara Anderson,Homme,Algérie,43.0,54423.18,Premium,4.5,22,Mobile,2025-01-03 03:05:09,0,4,1
Brenda Dyer,Femme,Maroc,60.0,40728.87,Premium,30.5,23,SmartTV,2025-03-01 02:56:48,0,5,3
Kathleen Cunningham,Homme,France,20.0,39985.95,Standard,23.3,18,Mobile,2025-06-01 02:04:54,0,6,6
Cody Rich,Femme,Algérie,34.0,34180.55,Standard,12.3,17,SmartTV,2025-03-29 14:59:59,0,5,3
David Williams,Femme,Maroc,45.0,45538.22,Standard,12.5,26,Mobile,2025-02-05 00:33:11,0,2,2
Lisa Thompson,Femme,Belgique,30.0,30839.81,Familial,4.8,24,SmartTV,2025-07-03 22:41:24,0,3,7
Kelli Pope,Homme,Canada,53.0,40068.23,Standard,6.9,28,Mobile,2025-06-29 13:23:24,0,6,6
James Mclaughlin,Femme,France,25.0,42243.88,Standard,1.3,26,Mobile,2025-03-23 22:23:56,0,6,3
Brian Allen,Homme,Algérie,53.0,39468.72,Standard,13.2,21,PC,2025-06-26 06:34:29,0,3,6
Ralph Miller,Femme,Canada,39.0,51361.69,Familial,22.0,23,Mobile,2025-03-18 21:42:40,0,1,3
Lisa Gonzalez,Femme,Belgique,43.761429322122964,40660.04,Premium,5.8,31,SmartTV,2025-03-11 07:51:46,0,1,3
Linda Howard,Homme,Maroc,48.0,48574.37,Standard,17.7,23,Mobile,2025-05-17 01:51:30,0,5,5
David Lee,Homme,Algérie,43.761429322122964,43643.25,Familial,7.5,12,SmartTV,2025-01-26 22:50:07,1,6,1
Joseph Perez,Femme,Canada,50.0,18469.7,Standard,14.36419689119171,18,Mobile,2025-03-13 19:30:08,0,3,3
Timothy Thompson,Femme,Canada,68.0,52997.74,Premium,40.2,25,Mobile,2025-06-13 03:01:39,0,4,6
Carol Smith,Homme,Belgique,42.0,37651.57,Standard,14.8,25,Tablette,2025-01-23 17:49:51,0,3,1
Phillip Gonzales,Non précisé,Belgique,36.0,37209.32,Premium,3.8,28,SmartTV,2025-05-04 01:58:02,0,6,5
Jacob Daniel,Homme,Belgique,29.0,26486.63,Premium,8.2,22,PC,2025-04-13 05:43:11,0,6,4
Courtney Jones,Femme,Algérie,47.0,40728.87,Premium,0.1,22,Tablette,2025-05-10 17:57:59,0,5,5
Paige Barrett,Homme,Maroc,21.0,59294.98,Premium,14.36419689119171,32,SmartTV,2025-01-11 11:04:19,0,5,1
Alejandro Thomas MD,Homme,Canada,30.0,56241.44,Standard,13.4,19,Mobile,2025-04-09 12:37:39,0,2,4
Rebecca Thompson,Non précisé,Algérie,30.0,46011.01,Premium,1.3,23,Mobile,2025-01-02 12:29:40,1,3,1
Cassandra Thornton,Homme,Belgique,68.0,40728.87,Standard,12.0,30,Mobile,2025-06-27 19:32:27,0,4,6
Karl Ibarra,Homme,Belgique,67.0,32623.02,Premium,43.1,30,SmartTV,2025-01-13 05:23:17,0,0,1
Willie Wiley,Homme,Canada,47.0,46825.78,Premium,14.5,23,PC,2025-05-23 20:18:52,0,4,5
Karla Rivera,Homme,Algérie,66.0,46419.65,Standard,5.0,25,Mobile,2025-06-04 13:35:46,0,2,6
Antonio Swanson,Femme,Belgique,63.0,41231.75,Familial,9.3,25,Mobile,2025-05-17 13:49:23,1,5,5
Mrs. Anne Anderson,Femme,France,69.0,36426.45,Familial,8.5,18,Mobile,2025-03-06 01:57:13,0,3,3
Michael Mckinney,Femme,France,19.0,38429.92,Standard,67.1,22,Inconnu,2025-02-17 03:55:44,0,0,2
Nicholas Anderson DDS,Femme,Maroc,56.0,65282.92,Premium,18.7,30,Mobile,2025-06-10 07:26:01,1,1,6
Haley Jensen DDS,Femme,Belgique,54.0,51767.59,Premium,0.6,28,PC,2025-06-28 08:34:35,0,5,6
Bailey Tucker,Homme,Canada,30.0,45606.46,Standard,6.7,17,Mobile,2025-03-20 23:45:06,0,3,3
Kelly Roach,Homme,Algérie,51.0,32339.05,Standard,4.8,30,Tablette,2025-02-09 16:10:54,0,6,2
Matthew Myers,Homme,Maroc,65.0,52733.04,Premium,59.8,24,Mobile,2025-01-31 23:11:46,1,4,1
Timothy Buchanan,Femme,Maroc,43.0,41698.39,Premium,11.2,22,SmartTV,2025-04-07 13:01:17,0,0,4
William Munoz,Non précisé,France,38.0,60082.32,Standard,7.3,26,Mobile,2025-05-05 15:41:17,0,0,5
Mario Meyer,Femme,Maroc,59.0,26730.0,Standard,37.9,20,SmartTV,2025-07-07 07:19:22,0,0,7
Kimberly Tran,Femme,Algérie,24.0,30721.53,Premium,13.6,26,Mobile,2025-04-07 10:52:56,0,0,4
Douglas Norris,Femme,Canada,43.0,52680.7,Standard,43.1,33,PC,2025-05-04 00:04:29,1,6,5
Andrew Wolf,Femme,Algérie,69.0,51601.69,Standard,29.3,32,Mobile,2025-02-13 00:19:41,0,3,2
Kylie Moreno,Homme,Maroc,29.0,56798.94,Premium,12.7,24,SmartTV,2025-01-17 08:40:32,0,4,1
Heather Howard,Femme,Belgique,53.0,40728.87,Standard,30.9,29,Tablette,2025-01-11 03:20:40,0,5,1
Ryan Miller,Homme,Maroc,57.0,39892.4,Standard,16.6,28,SmartTV,2025-05-15 14:58:42,0,3,5
Diane Chen,Femme,Canada,44.0,28630.85,Standard,5.1,22,PC,2025-05-05 12:50:34,0,0,5
Thomas Green,Femme,Maroc,20.0,46522.41,Premium,44.2,20,Mobile,2025-02-14 01:35:01,0,4,2
Joy Olson,Homme,Algérie,53.0,32100.88,Standard,31.3,30,PC,2025-05-07 07:44:42,0,2,5
Sharon Carter,Homme,France,53.0,39585.91,Standard,15.5,17,Mobile,2025-04-03 06:02:00,0,3,4
Mr. James Nicholson,Femme,France,19.0,45937.33,Standard,4.3,28,Mobile,2025-02-25 19:49:39,1,1,2
Brenda Barnes,Femme,Maroc,62.0,43673.61,Standard,2.8,29,PC,2025-03-25 14:51:56,0,1,3
Megan Scott,Homme,Maroc,44.0,37227.29,Standard,14.36419689119171,22,SmartTV,2025-05-17 02:38:30,1,5,5
Sean Blanchard,Homme,France,43.761429322122964,46869.34,Familial,1.7,32,PC,2025-04-14 09:08:15,1,0,4
Daniel Stewart,Femme,France,66.0,44764.56,Premium,17.3,16,Mobile,2025-04-11 19:43:40,0,4,4
Robert Lee,Femme,France,64.0,39539.15,Premium,35.8,27,PC,2025-04-20 21:12:18,0,6,4
Sara Harris,Femme,Belgique,54.0,58377.79,Premium,4.7,26,Mobile,2025-01-28 00:28:06,0,1,1
Troy Robinson,Homme,Canada,48.0,22912.07,Standard,9.9,28,SmartTV,2025-01-19 23:15:59,0,6,1
John Frost,Homme,Belgique,24.0,34075.27,Premium,7.2,29,SmartTV,2025-01-12 20:53:58,1,6,1
Jeffrey Stevenson,Homme,Maroc,43.761429322122964,46129.34,Standard,2.3,23,Tablette,2025-04-14 06:37:56,0,0,4
Ryan Barnes,Homme,France,67.0,20912.07,Standard,13.8,20,Mobile,2025-05-31 17:57:44,1,5,5
Melinda Wilcox,Homme,France,59.0,16214.6,Standard,17.6,22,PC,2025-03-25 08:51:45,0,1,3
Andrea Walsh,Femme,Algérie,55.0,16938.93,Standard,1.1,28,Mobile,2025-05-07 19:50:09,1,2,5
Erin Johnson,Femme,Canada,63.0,36827.73,Standard,6.0,27,SmartTV,2025-02-07 10:15:42,1,4,2
Patricia Taylor,Femme,Belgique,43.761429322122964,40728.87,Premium,42.0,26,Mobile,2025-04-03 18:00:19,0,3,4
Michael Patton,Homme,Belgique,28.0,23875.57,Standard,9.4,31,SmartTV,2025-02-26 21:07:42,1,2,2
Jared Chavez,Femme,Canada,51.0,40728.87,Standard,26.1,24,Mobile,2025-02-19 08:56:20,0,2,2
Cheryl Garcia,Femme,Algérie,61.0,38603.67,Premium,24.6,28,Tablette,2025-06-15 12:38:36,0,6,6
Michelle Greene,Homme,Algérie,47.0,33995.06,Familial,25.5,21,Mobile,2025-06-13 21:29:24,0,4,6
Corey French,Homme,Canada,32.0,38316.6,Premium,19.0,20,Mobile,2025-02-12 15:59:44,0,2,2
Shelley Washington,Homme,Algérie,41.0,33698.1,Premium,15.1,21,Mobile,2025-03-02 04:47:17,1,6,3
Steven Palmer,Femme,France,60.0,54270.72,Premium,3.2,28,Mobile,2025-05-17 13:38:21,1,5,5
Tyler Benson,Homme,France,41.0,48006.94,Standard,6.9,23,PC,2025-05-12 01:46:56,0,0,5
Anna Campbell,Femme,Maroc,54.0,46084.86,Familial,35.1,20,SmartTV,2025-06-26 10:56:24,0,3,6
Derek Thomas,Femme,Maroc,43.761429322122964,36980.71,Premium,10.0,25,Mobile,2025-05-07 18:48:17,1,2,5
Elizabeth Luna,Homme,Maroc,19.0,51932.8,Premium,1.8,24,SmartTV,2025-04-13 02:14:09,0,6,4
Stephanie Kim,Homme,Maroc,43.0,36789.82,Standard,10.1,25,Mobile,2025-06-03 01:36:53,1,1,6
Justin Johnson,Femme,Maroc,43.0,21663.35,Standard,1.6,22,Tablette,2025-06-13 09:18:12,0,4,6
Jason Mullins,Femme,Canada,57.0,33425.16,Premium,15.6,35,Mobile,2025-03-13 00:10:10,0,3,3
Samantha Ortiz,Homme,France,30.0,42361.93,Standard,10.2,21,SmartTV,2025-05-26 03:01:57,0,0,5
Nancy Wagner,Femme,Algérie,29.0,32199.35,Standard,25.5,28,Mobile,2025-03-12 02:57:59,1,2,3
Stacey Morris,Femme,Algérie,61.0,45750.02,Premium,14.4,31,PC,2025-05-21 11:30:24,0,2,5
Amanda Garcia,Non précisé,Maroc,27.0,51971.44,Premium,39.2,28,Mobile,2025-03-12 10:20:36,1,2,3
Christopher Johnson,Femme,Belgique,37.0,55797.75,Standard,16.0,25,SmartTV,2025-07-04 00:47:38,0,4,7
Crystal Torres,Homme,Canada,37.0,38865.87,Premium,1.3,25,SmartTV,2025-04-17 10:32:02,0,3,4
Stacey Hahn,Femme,Algérie,55.0,37686.07,Standard,14.36419689119171,24,Mobile,2025-04-01 21:36:18,0,1,4
Ricardo Black MD,Homme,France,60.0,45820.2,Standard,1.2,21,PC,2025-05-16 00:57:41,0,4,5
Jeffery Hanson,Non précisé,Belgique,69.0,17320.37,Standard,4.0,26,Mobile,2025-07-09 08:17:27,1,2,7
Alan Poole,Femme,Maroc,43.761429322122964,56648.23,Premium,1.7,31,SmartTV,2025-01-15 21:16:52,0,2,1
Rebecca Taylor,Non précisé,Belgique,29.0,39305.96,Premium,5.7,31,PC,2025-04-16 02:38:48,0,2,4
Anna Henderson,Femme,Belgique,25.0,53533.46,Premium,3.2,26,SmartTV,2025-04-17 07:43:30,0,3,4
Veronica Montgomery,Homme,France,47.0,40728.87,Standard,15.7,30,PC,2025-04-02 19:41:48,0,2,4
Jerry Holmes,Homme,Algérie,35.0,51570.15,Premium,15.9,13,Mobile,2025-04-14 07:40:35,0,0,4
Courtney Davis,Homme,Maroc,69.0,40728.87,Standard,3.3,24,SmartTV,2025-02-23 13:46:07,0,6,2
Jessica English,Homme,Maroc,33.0,40728.87,Familial,31.3,17,Mobile,2025-04-07 00:55:13,0,0,4
William Horn,Femme,Belgique,33.0,24833.43,Standard,4.4,24,Mobile,2025-01-18 22:09:26,0,5,1
Deborah Garcia,Femme,Algérie,28.0,51616.3,Premium,3.7,26,SmartTV,2025-04-18 14:06:55,0,4,4
Roger Rivera,Homme,France,63.0,24159.07,Familial,42.1,23,Tablette,2025-03-16 08:48:48,1,6,3
Christina Nunez,Homme,Canada,52.0,37134.97,Familial,1.9,23,Mobile,2025-03-23 23:03:13,0,6,3
Keith Williams,Homme,Maroc,36.0,41027.14,Premium,30.4,34,Mobile,2025-03-27 07:05:15,0,3,3
Jeffrey Morrison,Femme,Belgique,63.0,36659.52,Standard,33.6,29,PC,2025-02-23 14:35:34,0,6,2
Lauren Foster,Homme,Maroc,63.0,41977.3,Premium,59.0,24,SmartTV,2025-03-13 01:17:06,0,3,3
Lori Smith,Femme,France,36.0,22672.89,Premium,16.0,25,PC,2025-01-13 12:20:17,0,0,1
Timothy Mcknight,Femme,Maroc,56.0,45338.24,Standard,53.8,26,Mobile,2025-03-16 00:01:49,0,6,3
Ryan Roman,Homme,France,37.0,31460.06,Standard,26.3,23,Mobile,2025-03-13 17:00:40,0,3,3
Jessica Watson,Non précisé,France,43.761429322122964,31635.46,Premium,3.5,25,Mobile,2025-02-17 05:51:26,0,0,2
Jeffrey Esparza,Homme,Maroc,31.0,54192.16,Standard,14.36419689119171,28,PC,2025-02-23 11:05:19,0,6,2
